colA,colB,colC,colD,colE,colF,colG,colH
"2383.0000","192.0000","","8580.0000",1,3,"3971.0000",2014
"2773.0000","181.0000","","8329.0000",2,3,"4153.0000",2014
"3402.0000","162.0000","","7548.0000",3,3,"3821.0000",2014
"3626.0000","148.0000","","7229.0000",4,3,"4322.0000",2014
"2963.0000","197.0000","","7759.0000",5,3,"4342.0000",2014
"2625.0000","119.0000","","7551.0000",6,3,"3855.0000",2014
"2305.0000","130.0000","","8460.0000",7,3,"4703.0000",2014
"2329.0000","155.0000","","8760.0000",8,3,"4994.0000",2014
"2686.0000","214.0000","","8375.0000",9,3,"4945.0000",2014
"2531.0000","190.0000","","8212.3000",10,3,"4937.0000",2014
"2550.0000","174.0000","","8060.0000",11,3,"4967.0000",2014
"2713.0000","185.0000","","8366.0000",12,3,"4677.0000",2014
"3146.0000","159.0000","","9225.0000",1,3,"5331.0000",2015
"4295.0000","172.0000","","9103.0000",2,3,"5405.0000",2015
"4125.0000","235.0000","","9040.0000",3,3,"5127.0000",2015
"5607.0000","197.0000","","8607.0000",4,3,"5128.0000",2015
"5957.0000","167.0000","","8687.0000",5,3,"4788.0000",2015
"153.1000","0.0000","","1061.5000",1,4,"311.9000",2014
"229.1000","0.0000","","1097.1000",2,4,"321.9000",2014
"183.6000","0.0000","","1061.5000",3,4,"106.0000",2014
"67.5000","0.0000","","1090.8000",4,4,"394.6000",2014
"133.5000","0.0000","","1063.9000",5,4,"376.3000",2014
"122.2000","0.0000","","1065.8000",6,4,"392.3000",2014
"103.6000","0.0000","","1117.3000",7,4,"354.9000",2014
"81.6000","0.0000","","1074.8000",8,4,"351.9000",2014
"112.4000","0.0000","","1044.5000",9,4,"320.3000",2014
"111.8000","0.0000","","1011.9000",10,4,"279.8000",2014
"114.5000","0.0000","","1023.0000",11,4,"321.4000",2014
"116.1000","0.0000","","967.7000",12,4,"338.0000",2014
"116.2000","0.0000","","1033.7000",1,4,"280.5000",2015
"179.9000","0.0000","","1254.8000",2,4,"273.5000",2015
"161.2000","0.0000","","1348.3000",3,4,"330.8000",2015
"133.1000","0.0000","","1441.2000",4,4,"264.6000",2015
"118.4000","0.0000","","1462.3000",5,4,"294.7000",2015
"403.9810","0.0000","","0.0000",1,5,"0.0000",2014
"423.6190","0.0000","","0.0000",2,5,"0.0000",2014
"407.9400","0.0000","","0.0000",3,5,"0.0000",2014
"325.2730","0.0000","","0.0000",4,5,"0.0000",2014
"378.9810","0.0000","","0.0000",5,5,"0.0000",2014
"281.3720","0.0000","","0.0000",6,5,"0.0000",2014
"357.0250","0.0000","","0.0000",7,5,"0.0000",2014
"351.0730","0.0000","","0.0000",8,5,"0.0000",2014
"321.3250","0.0000","","0.0000",9,5,"0.0000",2014
"447.5270","0.0000","","0.0000",10,5,"0.0000",2014
"470.7800","0.0000","","0.0000",11,5,"0.0000",2014
"374.8900","0.0000","","0.0000",12,5,"0.0000",2014
"291.4560","0.0000","","0.0000",1,5,"0.0000",2015
"500.5270","0.0000","","0.0000",2,5,"0.0000",2015
"337.6170","0.0000","","0.0000",3,5,"0.0000",2015
"351.8010","0.0000","","0.0000",4,5,"0.0000",2015
"634.8670","0.0000","","0.0000",5,5,"0.0000",2015
"1347.5000","0.0000","","0.0000",1,6,"0.0000",2014
"1454.4000","0.0000","","0.0000",2,6,"0.0000",2014
"1365.6000","0.0000","","0.0000",3,6,"0.0000",2014
"286.6000","0.0000","","0.0000",4,6,"0.0000",2014
"759.4000","0.0000","","0.0000",5,6,"0.0000",2014
"500.8000","0.0000","","0.0000",6,6,"0.0000",2014
"810.2000","0.0000","","0.0000",7,6,"0.0000",2014
"890.1000","0.0000","","0.0000",8,6,"0.0000",2014
"482.1000","0.0000","","0.0000",9,6,"0.0000",2014
"886.5000","0.0000","","0.0000",10,6,"0.0000",2014
"1417.4000","0.0000","","0.0000",11,6,"0.0000",2014
"1472.1000","0.0000","","0.0000",12,6,"0.0000",2014
"1321.6380","0.0000","","0.0000",1,6,"0.0000",2015
"1253.6280","0.0000","","0.0000",2,6,"0.0000",2015
"392.9475","0.0000","","0.0000",3,6,"0.0000",2015
"764.3250","0.0000","","0.0000",4,6,"0.0000",2015
"706.5610","0.0000","","0.0000",5,6,"0.0000",2015
"33.8000","2629.0000","","9127.6000",1,7,"4656.4000",2014
"32.5000","2281.6000","","9690.8000",2,7,"4511.2000",2014
"10.7000","3274.4000","","8966.6000",3,7,"4503.0000",2014
"39.2000","3834.8000","","9982.5000",4,7,"4296.5000",2014
"20.0000","3586.4000","","9982.1000",5,7,"4225.5000",2014
"48.3000","3453.7000","","9598.2000",6,7,"3775.9000",2014
"35.5000","4148.7000","","10054.5000",7,7,"3807.4000",2014
"26.2000","3591.2000","","10424.8000",8,7,"4183.0000",2014
"46.3000","2248.5000","","10212.3000",9,7,"4076.2000",2014
"56.5000","3170.9000","","10831.3000",10,7,"4456.6000",2014
"41.3000","4120.2000","","10866.1000",11,7,"4798.1000",2014
"39.0000","3159.6000","","8800.3000",12,7,"3952.8000",2014
"52.2000","3885.1000","","9837.7000",1,7,"5497.8000",2015
"40.1000","4745.1000","","10015.9000",2,7,"4853.4000",2015
"51.7000","5601.0000","","10346.9000",3,7,"5016.6000",2015
"37.0000","5790.8000","","10967.8000",4,7,"5209.8000",2015
"59.1000","3588.9000","","11690.6000",5,7,"5259.8000",2015
"2425.0000","4907.0000","","12123.0000",1,8,"3956.0000",2014
"2663.0000","5167.0000","","12293.0000",2,8,"4332.0000",2014
"2404.0000","5772.0000","","12428.0000",3,8,"4212.0000",2014
"2388.0000","5916.0000","","12735.0000",4,8,"4452.0000",2014
"2334.0000","6202.0000","","12546.0000",5,8,"4663.0000",2014
"2095.0000","5823.0000","","13848.0000",6,8,"4667.0000",2014
"2144.0000","6410.0000","","13871.0000",7,8,"5061.0000",2014
"2075.0000","6406.0000","","14290.0000",8,8,"5080.0000",2014
"2479.0000","6738.0000","","14080.0000",9,8,"4745.0000",2014
"2910.0000","6973.0000","","13847.0000",10,8,"4690.0000",2014
"2397.0000","7162.0000","","13755.0000",11,8,"4443.0000",2014
"2507.0000","7148.0000","","13492.0000",12,8,"4354.0000",2014
"3416.0000","7724.0000","","14090.0000",1,8,"4377.0000",2015
"4154.0000","8087.0000","","13852.0000",2,8,"4659.0000",2015
"4518.0000","8518.0000","","13535.0000",3,8,"5267.0000",2015
"5370.0000","8516.0000","","14224.0000",4,8,"5612.0000",2015
"6211.0000","8526.0000","","14179.0000",5,8,"5656.0000",2015
"2308.4750","2644.9110","","13850.2250",1,9,"10840.9040",2014
"2656.6130","2569.1630","","14011.9280",2,9,"11106.3980",2014
"2780.4770","2730.6950","","13658.6340",3,9,"11204.0380",2014
"3066.6180","2765.5590","","13954.9960",4,9,"10983.8610",2014
"1168.4510","2777.6210","","13670.9300",5,9,"11487.5730",2014
"1050.8960","2743.3160","","13238.3990",6,9,"11288.3710",2014
"1105.9950","2776.7140","","13397.8080",7,9,"11217.7670",2014
"1353.6190","2694.3980","","13128.0450",8,9,"11531.9880",2014
"1385.5230","2534.1670","","12591.3690",9,9,"11248.7580",2014
"1494.7520","2526.1310","","12020.4730",10,9,"11748.6810",2014
"1851.9340","2432.6700","","11763.1030",11,9,"11896.6430",2014
"1249.4120","2303.7530","","11665.8020",12,9,"11207.7740",2014
"1290.7750","2373.4120","","11760.6460",1,9,"12503.5160",2015
"1546.8040","2488.9410","","12196.8360",2,9,"12654.4860",2015
"1117.4760","2356.9370","","12337.8350",3,9,"12388.2280",2015
"1434.0310","2479.9960","","13477.6080",4,9,"13059.8060",2015
"1465.5420","2324.7910","","14288.3090",5,9,"12770.6770",2015
"83.2000","0.0000","","0.0000",1,10,"0.0000",2014
"124.6000","0.0000","","0.0000",2,10,"0.0000",2014
"88.6000","0.0000","","0.0000",3,10,"0.0000",2014
"85.6000","0.0000","","0.0000",4,10,"0.0000",2014
"26.6000","0.0000","","0.0000",5,10,"0.0000",2014
"24.3000","0.0000","","0.0000",6,10,"0.0000",2014
"19.2000","0.0000","","0.0000",7,10,"0.0000",2014
"41.1000","0.0000","","0.0000",8,10,"0.0000",2014
"36.1000","0.0000","","0.0000",9,10,"0.0000",2014
"28.6000","0.0000","","0.0000",10,10,"0.0000",2014
"25.7000","0.0000","","0.0000",11,10,"0.0000",2014
"25.4000","0.0000","","0.0000",12,10,"0.0000",2014
"35.8000","0.0000","","0.0000",1,10,"0.0000",2015
"34.1000","0.0000","","0.0000",2,10,"0.0000",2015
"48.4000","0.0000","","0.0000",3,10,"0.0000",2015
"37.6000","0.0000","","0.0000",4,10,"0.0000",2015
"35.0000","0.0000","","0.0000",5,10,"0.0000",2015